The Green Hornet,Columbia,44,47,Rivalry,Action,3584,9335,98.78,129.037,227.817,120,1.898475,33.5
The Hangover Part II,Legendary Pictures,35,58,Comedy,Comedy,3615,23775,254.464,332.3,586.764,80,7.33455,85.946
The Help,DreamWorks Pictures,75,91,Maturation,Drama,2534,10278,169.708,46.931,216.639,25,8.66556,26.044
The Ides of March,Columbia,85,76,Transformation,Thriller,2199,4761,40.962,35.03,75.992,12.5,6.07936,10.47
The Iron Lady,Weinstein Company,53,54,,Drama,802,6749,30.017,84.938,114.955,13,8.842692308,5.41
The Lincoln Lawyer,Lionsgate,84,82,Fish Out Of Water,Drama,2707,4879,58.009,17,75.009,40,1.875225,13.206
The Mechanic,Independent,53,52,Revenge,Action,2703,4226,29.121,21.949,51.07,40,1.27675,11.4
The Muppets,Disney,97,87,Quest,Comedy,3440,8500,88.631,76.553,165.184,45,3.670755556,29.239
The Rite,Warner Bros,20,43,Monster Force,Horror,2985,4955,33.047,63,96.047,37,2.595864865,14.8
The Roommate,Independent,4,29,Monster Force,Horror,2534,5921,37.3,3.192,40.492,16,2.53075,15.002
The Rum Diary,Independent,50,48,Discovery,Drama,2273,2259,13.109,10.837,23.946,45,0.532133333,5.135
The Sitter,Fox,22,43,,Comedy,2750,2582,30.441,4.5,34.941,25,1.39764,9.85
The Smurfs,Sony Pictures Animation,23,50,Fish Out Of Water,Animation,3395,10489,142.614,421.135,563.749,110,5.124990909,35.611
The Thing,Universal,36,52,Monster Force,Horror,2996,2835,16.928,10.5,27.428,38,0.721789474,8.493
The Three Musketeers,Independent,24,48,Rivalry,Action,3017,2875,20.374,111.9,132.274,75,1.763653333,8.674
The Tree Of Life,Independent,84,61,Discovery,Drama,4,93230,13.303,41,54.303,32,1.69696875,0.372
Thor,Disney,77,80,Monster Force,Action,3955,16618,181.03,268.29,449.32,150,2.995466667,65.723
Tinker Tailor Soldier Spy,Focus,83,68,,Thriller,809,6772,24.149,56.481,80.63,21,3.83952381,5.47
Tower Heist,Relativity,68,61,Revenge,Comedy,3367,7135,78.04,74.884,152.924,75,2.038986667,24.025
Transformers: Dark of the Moon,DreamWorks Pictures,35,67,Quest,Action,4088,23937,352.39,771.4,1123.79,195,5.763025641,97.852
Twilight: Breaking Dawn,Independent,26,68,Love,Romance,4061,34012,281.29,430.88,712.17,110,6.474272727,138.122
Unknown,Independent,55,57,The Riddle,Thriller,3043,7183,63.686,67.1,130.786,30,4.359533333,21.856
War Horse,Disney,77,73,,Drama,2376,6114,79.884,97.7,177.584,66,2.690666667,14.52
Warrior,Lionsgate,83,93,Rivalry,Action,1869,2805,13.657,9.4,23.057,25,0.92228,5.242
Water For Elephants,20th Century Fox,60,72,Love,Drama,2817,5979,58.709,58.385,117.094,38,3.081421053,16.842
We Bought a Zoo,Fox,63,79,,Comedy,3117,3003,75.624,44.457,120.081,50,2.40162,9.36
What's Your Number,20th Century Fox,24,50,Transformation,Comedy,3002,1806,14.011,16.415,30.426,20,1.5213,5.421
Winnie The Pooh,Disney,91,79,Quest,Animation,2405,3267,26.692,6.46,33.152,30,1.105066667,7.857
X-Men: First Class,Disney,87,88,Monster Force,Action,3641,15134,146.408,207.215,353.623,160,2.21014375,55.101
Your Highness,Universal,26,36,Comedy,Comedy,2769,3380,21.596,3.26,24.856,49.9,0.498116232,9.36
Zookeeper,Happy Madison Productions,14,42,Comedy,Comedy,3482,5763,80.36,89.491,169.851,80,2.1231375,20.065
